bond_lengths,bond_angles,torsions,rings,mol_name,source_file
0.21428571428571427,0.45454545454545453,,0.0,RDKit          3D,4aua_A_rec_4aua_4au_lig_it2_tt_docked_7.sdf
0.4090909090909091,0.3181818181818182,0.375,,RDKit          3D,4g3d_B_rec_4idv_13v_lig_tt_min_0.sdf
0.6666666666666666,0.5,0.0,,RDKit          3D,2f2c_B_rec_1xo2_fse_lig_tt_min_0.sdf
0.2692307692307692,0.4,0.5,0.0,RDKit          3D,5bur_A_rec_5x8f_amp_lig_tt_docked_7.sdf
0.7,0.3333333333333333,,0.0,RDKit          3D,1afs_A_rec_1afs_tes_lig_tt_min_0.sdf
0.7222222222222222,0.3333333333333333,,,RDKit          3D,2rma_A_rec_3rdd_ea4_lig_tt_docked_0.sdf
0.6818181818181818,0.4,0.0,0.0,RDKit          3D,4yhj_A_rec_4yhj_an2_lig_tt_min_0.sdf
0.6666666666666666,0.6,0.0,,RDKit          3D,1rs9_A_rec_1dmk_itu_lig_tt_min_0.sdf
0.65,0.5909090909090909,0.6363636363636364,,RDKit          3D,2e24_A_rec_1j0n_ceg_lig_tt_docked_14.sdf
0.6111111111111112,0.7142857142857143,,0.0,RDKit          3D,5l1v_A_rec_5l1v_7pf_lig_tt_docked_0.sdf
0.5,0.5555555555555556,0.4,,RDKit          3D,3v4t_A_rec_4e7f_udp_lig_tt_min_0.sdf
0.4074074074074074,0.5925925925925926,0.4,,RDKit          3D,1h0i_A_rec_1e6z_ngo_lig_it2_tt_docked_15.sdf
0.5714285714285714,0.45454545454545453,0.3333333333333333,,RDKit          3D,1umd_B_rec_1umb_tdp_lig_tt_docked_1.sdf
0.5833333333333334,0.5,,,RDKit          3D,1dxo_C_rec_1gg5_e09_lig_tt_min_0.sdf
0.4166666666666667,0.7692307692307693,1.0,,RDKit          3D,3ej8_A_rec_2nsi_itu_lig_tt_min_0.sdf
0.6190476190476191,0.5833333333333334,1.0,,RDKit          3D,4rv4_A_rec_4rv4_prp_lig_tt_docked_2.sdf
0.2727272727272727,0.3333333333333333,,,RDKit          3D,2rhy_A_rec_2rhy_mlz_lig_tt_min_0.sdf
0.5454545454545454,0.5714285714285714,0.3333333333333333,,RDKit          3D,5w2g_A_rec_5w2i_adp_lig_tt_min_0.sdf
0.23076923076923078,0.46153846153846156,0.5,0.0,RDKit          3D,4bel_A_rec_2ewy_dbo_lig_tt_min_0.sdf
0.6756756756756757,0.6666666666666666,1.0,,RDKit          3D,3hy9_B_rec_3hyg_099_lig_tt_min_0.sdf
0.8571428571428571,0.5,,,RDKit          3D,1k9t_A_rec_2wlz_dio_lig_tt_min_0.sdf
