bond_lengths,bond_angles,torsions,rings,mol_name,source_file
0.5625,0.47368421052631576,0.5,0.0,RDKit          3D,4z2g_A_rec_4z2g_m6v_lig_tt_docked_16.sdf
0.6428571428571429,0.2631578947368421,0.0,0.0,RDKit          3D,4m7t_A_rec_4m7t_sam_lig_tt_min_0.sdf
1.0,0.75,,0.0,RDKit          3D,3nfb_A_rec_3nfb_oae_lig_tt_docked_2.sdf
0.6666666666666666,0.6190476190476191,0.6666666666666666,0.0,RDKit          3D,3o96_A_rec_3o96_iqo_lig_tt_docked_2.sdf
0.6666666666666666,0.5,,0.0,RDKit          3D,3u9f_C_rec_3u9f_clm_lig_tt_min_0.sdf
0.6,0.3333333333333333,0.5,0.0,RDKit          3D,4pxz_A_rec_4pxz_6ad_lig_tt_min_0.sdf
0.6923076923076923,0.2,0.6666666666666666,0.0,RDKit          3D,1d7j_A_rec_1tco_fk5_lig_tt_docked_0.sdf
0.5,0.15384615384615385,1.0,0.0,RDKit          3D,4rn0_B_rec_4rn1_l8g_lig_tt_min_0.sdf
0.7142857142857143,0.7037037037037037,0.0,0.3333333333333333,RDKit          3D,3daf_A_rec_3daf_feg_lig_tt_docked_0.sdf
0.631578947368421,0.28,0.5,0.0,RDKit          3D,5aeh_A_rec_5aeh_8ir_lig_tt_docked_0.sdf
0.6666666666666666,0.6428571428571429,0.6,0.0,RDKit          3D,5liu_X_rec_4gq0_qap_lig_tt_min_0.sdf
0.8333333333333334,0.42857142857142855,,0.0,RDKit          3D,4kcq_A_rec_4cwv_hw8_lig_tt_min_0.sdf
0.8235294117647058,0.4583333333333333,,0.3333333333333333,RDKit          3D,1coy_A_rec_1coy_and_lig_tt_docked_0.sdf
0.8888888888888888,0.7142857142857143,,0.0,RDKit          3D,2pqw_A_rec_2rhy_mlz_lig_tt_min_0.sdf
0.3076923076923077,0.4375,1.0,0.0,RDKit          3D,3b6h_A_rec_3b6h_mxd_lig_tt_min_0.sdf
1.0,0.5,0.5,,RDKit          3D,4gvd_A_rec_4nxr_ans_lig_tt_min_0.sdf
0.4666666666666667,0.5,0.5,0.0,RDKit          3D,4aaw_A_rec_4ac3_r83_lig_tt_min_0.sdf
0.6153846153846154,0.5333333333333333,1.0,0.0,RDKit          3D,1l3l_A_rec_1l3l_lae_lig_tt_min_0.sdf
0.5,1.0,,0.0,RDKit          3D,3pnm_A_rec_3pnq_2ha_lig_tt_docked_10.sdf
0.375,0.35,0.8,0.0,RDKit          3D,4zfa_A_rec_1smj_pam_lig_tt_min_0.sdf
0.7222222222222222,0.5217391304347826,0.1111111111111111,0.0,RDKit          3D,1h36_A_rec_1o79_r23_lig_tt_docked_5.sdf
0.7058823529411765,0.17647058823529413,0.5,0.0,RDKit          3D,4iiy_A_rec_3tle_gsu_lig_tt_docked_12.sdf
0.8,0.375,0.8333333333333334,0.0,RDKit          3D,2hcj_B_rec_2hcj_gdp_lig_tt_docked_0.sdf
0.5555555555555556,0.5,0.0,0.0,RDKit          3D,2gns_A_rec_4qer_stl_lig_tt_min_0.sdf
0.6666666666666666,0.4166666666666667,,0.0,RDKit          3D,4h3c_A_rec_5cqj_53q_lig_tt_docked_2.sdf
0.85,0.5714285714285714,1.0,0.0,RDKit          3D,4azf_A_rec_5lxc_7aa_lig_tt_min_0.sdf
0.5,0.2,,0.0,RDKit          3D,1a2g_A_rec_4jmv_1ly_lig_tt_min_0.sdf
0.6923076923076923,0.5384615384615384,1.0,0.0,RDKit          3D,4lfu_A_rec_4y13_480_lig_tt_min_0.sdf
0.6153846153846154,0.6428571428571429,1.0,0.0,RDKit          3D,3jyh_A_rec_3n0t_opy_lig_tt_min_0.sdf
0.5384615384615384,0.5555555555555556,,0.5,RDKit          3D,5ngz_A_rec_5ngz_2bg_lig_tt_min_0.sdf
0.875,0.8571428571428571,,,RDKit          3D,2e6d_A_rec_2e6d_fum_lig_tt_min_0.sdf
0.75,0.42857142857142855,0.0,0.0,RDKit          3D,4rlu_A_rec_4rlu_hcc_lig_tt_min_0.sdf
0.8888888888888888,0.5714285714285714,,,RDKit          3D,4u5s_A_rec_4u54_3c5_lig_tt_min_0.sdf
0.6666666666666666,0.6666666666666666,0.2,0.0,RDKit          3D,2v3r_A_rec_1dy4_snp_lig_tt_docked_1.sdf
0.875,1.0,,,RDKit          3D,3w83_B_rec_2e6d_fum_lig_tt_min_0.sdf
0.75,0.6,0.75,,RDKit          3D,4p6p_A_rec_4p77_5rp_lig_tt_docked_0.sdf
0.6666666666666666,0.7777777777777778,,0.0,RDKit          3D,1fmc_B_rec_1fmc_cho_lig_tt_docked_1.sdf
0.6363636363636364,0.75,,0.0,RDKit          3D,5i0b_A_rec_5vef_m77_lig_tt_min_0.sdf
